Руст,Рзаб,Pлин,Руст.1,Рзаб.1,Рлин,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит гааз,Дебит кон нестабильный,Pсб,Pсб.1,G_total,КГФ
30409,41569,9117,3060,4150,8752,1068,2825,24329,1146,118,26264,22097,1662,865,8537,,
3000,41066,9388,3000,4088,9228,10687,3623,33821,15901,50,3604,31860,2320,876,8645,,
2885,40342,9363,2880,4008,9391,10684,4219,42644,20971,688,45571,42450,3050,879,8675,,
27583,39533,9675,2750,3924,9663,1068,4653,50464,24506,81,53883,49730,3598,897,8853,,
2160,3094,10198,2150,3118,10095,1030,4789,4837,885,17,49962,41050,1326,935,9228,,
27076,4030,10538,27076,4048,10595,1040,2245,18245,4943,32,19176,12394,800,1024,10106,,2120.0
24445,3966,10849,24445,3973,10812,10707,3627,38372,9385,45,40139,28273,1519,970,9573,,1940.0
23566,3900,10779,23566,3901,1085,1050,4272,4986,11747,111,52072,38175,1852,1037,10234,,1870.0
22786,3844,11017,22786,3813,11019,1049,4799,61221,13953,65,63848,48350,2226,1038,10244,,1800.0
2640,3628,956,2630,3629,9534,10554,2644,24322,6133,137,25525,19249,1015,931,9188,,1980.0
2560,3593,966,2560,3593,9732,10557,3369,35322,7799,35,36686,28562,1231,928,9159,,1740.0
2640,35946,9663,2640,3592,9628,1052,2672,23914,7417,252,25279,18680,1070,941,9287,,
25465,35405,9773,2540,3521,9746,1052,343,33581,981,392,3547,27300,1414,950,9376,,
24392,34557,9849,2420,3427,9722,10514,4021,43233,11741,522,45474,36260,1691,914,902,,
22989,3363,1024,2280,3331,10229,10504,4474,50375,13448,666,52867,41520,1959,958,9455,,1400.0
2125,32377,1008,2110,3193,9584,1049,4814,60699,15302,917,63534,52070,2213,950,9376,,
2480,3400,9402,2480,3398,942,10485,3351,33863,6659,139,35055,28686,1052,888,8764,,1540.0
2390,3340,9551,2390,3317,9588,10483,3929,43274,7791,202,44572,37730,1228,881,8695,,1410.0
22389,3260,9489,2230,3240,9552,10474,4291,5141,9124,28,52893,45903,1421,888,8764,,1390.0
2060,3180,9727,2050,3125,9552,10464,4672,60878,10294,323,62549,54524,1611,889,8774,,1320.0
